id,entity_name,issuer_name,isin,position_percent,position_date,timestamp
6776,Citadel Advisors LLC,Xvivo Perfusion Aktiebolag,SE0004840718,0.63,2025-07-29,2025-07-30 10:29
6777,Pertento Partners LLP,Truecaller AB,SE0016787071,0.5,2025-07-29,2025-07-30 11:12
6778,Wellington Management International Limited,Mips AB,SE0009216278,0.81,2025-07-29,2025-07-30 11:12
6779,Qube Research & Technologies Limited,Xvivo Perfusion Aktiebolag,SE0004840718,0.69,2025-07-29,2025-07-30 13:00
6780,Qube Research & Technologies Limited,AFRY AB,SE0005999836,0.6,2025-07-29,2025-07-30 13:15
6781,JPMorgan Asset Management (UK) Ltd,Storytel AB (publ),SE0007439443,0.56,2025-07-29,2025-07-30 13:24
6782,Ennismore Fund Management Ltd,Cint Group AB (publ),SE0015483276,1.18,2025-07-29,2025-07-30 14:15
6783,Acadian Asset Management LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,0.72,2025-07-29,2025-07-30 15:00
6784,Fosse Capital Partners LLP,Castellum Aktiebolag,SE0000379190,0.0,2024-09-25,2025-07-30 15:00
6785,Origo Fonder AB,Tobii AB,SE0002591420,0.51,2025-07-30,2025-07-30 17:38
6786,Boldhaven Management LLP,Instalco AB,SE0017483506,1.43,2025-07-30,2025-07-30 18:22
6787,Boldhaven Management LLP,Electrolux Professional AB (publ),SE0013747870,0.8,2025-07-30,2025-07-30 18:22
6788,PDT Partners LLC,MilDef Group AB,SE0016074249,0.72,2025-07-30,2025-07-31 01:10
6789,Samlyn Capital LLC,Samhällsbyggnadsbolaget i Norden AB,SE0009554454,3.81,2025-07-30,2025-07-31 05:07
6790,CapeView Capital LLP,Vitec Software Group AB (publ),SE0007871363,0.53,2025-07-30,2025-07-31 09:13
6791,Wellington Management International Limited,Vitec Software Group AB (publ),SE0007871363,0.51,2025-07-28,2025-07-31 09:13
6792,Citadel Advisors LLC,Aktiebolaget Electrolux,SE0016589188,0.0,2025-07-23,2025-07-31 11:04
6793,Citadel Securities (Europe) Limited,Tobii AB,SE0002591420,0.53,2025-07-30,2025-07-31 11:18
6794,ELEVA CAPITAL S.A.S,Aktiebolaget Electrolux,SE0016589188,0.6,2025-07-30,2025-07-31 11:44
6795,BlackRock Institutional Trust Company National Association,Castellum Aktiebolag,SE0000379190,0.59,2025-07-30,2025-07-31 12:18
6796,MILLENNIUM INTERNATIONAL MANAGEMENT LP,BioArctic AB,SE0010323311,0.93,2025-07-30,2025-07-31 12:34
6797,MILLENNIUM INTERNATIONAL MANAGEMENT LP,MilDef Group AB,SE0016074249,0.0,2025-07-24,2025-07-31 12:34
6798,Connor Clark & Lunn Investment Management Ltd.,Hexatronic Group AB,SE0018040677,0.59,2025-07-30,2025-07-31 13:32
6799,Wellington Management International Limited,Truecaller AB,SE0016787071,1.08,2025-07-30,2025-07-31 13:48
6800,Acadian Asset Management LLC,Xvivo Perfusion Aktiebolag,SE0004840718,0.55,2025-07-30,2025-07-31 13:56
6801,Qube Research & Technologies Limited,Corem Property Group AB,SE0010714287,0.51,2025-07-30,2025-07-31 14:34
6802,Qube Research & Technologies Limited,Vitec Software Group AB (publ),SE0007871363,0.8,2025-07-30,2025-07-31 14:34
6803,Arrowstreet Capital Limited Partnership,Cibus Nordic Real Estate AB (publ),SE0010832204,1.31,2025-07-30,2025-07-31 14:34
6804,JPMorgan Asset Management (UK) Ltd,Storytel AB (publ),SE0007439443,0.63,2025-07-30,2025-07-31 15:29
6805,Boldhaven Management LLP,Sdiptech AB (publ),SE0003756758,0.79,2025-07-31,2025-07-31 18:47
6806,MILLENNIUM INTERNATIONAL MANAGEMENT LP,Boliden AB,SE0020050417,0.51,2025-07-30,2025-08-01 05:37
6807,ALCUR FONDER AB,JM AB,SE0000806994,0.51,2025-07-31,2025-08-01 09:51
6808,Citadel Securities (Europe) Limited,Tobii AB,SE0002591420,0.0,2025-07-30,2025-08-01 11:07
6809,BlackRock Advisors LLC,Castellum Aktiebolag,SE0000379190,0.59,2025-07-31,2025-08-01 11:40
6810,Capital Fund Management SA,Getinge AB (publ),SE0000202624,0.0,2025-07-08,2025-08-01 11:40
6811,MILLENNIUM INTERNATIONAL MANAGEMENT LP,MilDef Group AB,SE0016074249,0.54,2025-07-31,2025-08-01 12:10
6812,Qube Research & Technologies Limited,KAMBI GROUP PLC,MT0000780107,1.0,2025-07-31,2025-08-01 13:55
6813,Qube Research & Technologies Limited,Xvivo Perfusion Aktiebolag,SE0004840718,0.7,2025-07-31,2025-08-01 13:55
