id,timestamp,company_name,lei,position_percent,latest_position_date
38602,2025-07-28 11:01,Dometic Group AB (publ),549300STIPMK5VSA7Y59,1.78,2025-07-25
38603,2025-07-28 11:01,Telia Company AB,213800FSR9RNDUOTXO25,1.33,2025-07-25
38604,2025-07-28 11:20,Husqvarna AB,549300GYQIIJ3UXB7655,2.11,2025-06-24
38605,2025-07-28 11:20,MEKO AB,529900R809HC1RFRQA91,0.21,2025-07-25
38606,2025-07-28 11:20,Surgical Science Sweden AB,549300YROAI18G6JL885,3.71,2025-07-25
38607,2025-07-28 11:20,Net Insight AB,549300BMCT8IT2CFDH63,1.08,2025-07-23
38608,2025-07-28 11:32,Logistea AB,549300ZSB0ZCKM1SL747,0.7,2025-07-25
38609,2025-07-28 11:32,Vitec Software Group AB (publ),5493005EB5RV1QHE6H94,6.7,2025-07-25
38610,2025-07-28 11:32,Skanska AB,549300UINV5RINHGMG07,1.3,2025-07-24
38611,2025-07-28 11:32,BioArctic AB,549300Y0OI2WVUNHLC33,3.83,2025-07-25
38612,2025-07-28 11:51,Essity Aktiebolag (publ),549300G8E6YUVJ1DA153,2.13,2025-07-25
38613,2025-07-28 11:51,Truecaller AB,549300TEYF1FA5G5GK26,4.64,2025-07-25
38614,2025-07-28 11:51,Svenska Cellulosa Aktiebolaget SCA,549300FW5JDRV1IJ0M67,3.44,2025-07-25
38615,2025-07-28 11:51,Hexatronic Group AB,2138001VSY1B4U9JLM82,14.02,2025-07-25
38616,2025-07-28 12:05,Oncopeptides AB,549300J9WWQ5CBYQ1M77,0.13,2025-07-15
38617,2025-07-28 12:05,Clas Ohlson Aktiebolag,549300MH8OETHBBKJU80,1.55,2025-07-25
38618,2025-07-28 12:19,BONESUPPORT HOLDING AB,549300COLY053IGTLD63,3.92,2025-07-25
38619,2025-07-28 12:19,Svenska Cellulosa Aktiebolaget SCA,549300FW5JDRV1IJ0M67,3.55,2025-07-25
38620,2025-07-28 12:19,Swedish Orphan Biovitrum AB (publ),549300124Y3MQI87PT35,1.97,2025-07-25
38621,2025-07-28 12:19,Hoist Finance AB (publ),549300NPK3FB2BEL4D08,1.08,2025-07-25
38622,2025-07-28 12:35,Xvivo Perfusion Aktiebolag,549300G2464FYLS14B41,7.03,2025-07-25
38623,2025-07-28 13:08,SSAB AB,529900329VS14ZIML164,3.67,2025-07-25
38624,2025-07-28 13:36,Boliden AB,21380059QU7IM1ONDJ56,3.98,2025-07-25
38625,2025-07-28 13:36,Elekta AB (publ),54930044O54BK617EP80,7.7,2025-07-25
38626,2025-07-28 13:36,MEKO AB,529900R809HC1RFRQA91,0.35,2025-07-25
38627,2025-07-28 13:36,BONESUPPORT HOLDING AB,549300COLY053IGTLD63,4.39,2025-07-22
38628,2025-07-28 13:50,Smart Eye Aktiebolag (publ),549300BUD7ZPFPKM6856,2.97,2025-07-25
38629,2025-07-28 13:50,Intrum AB,549300UNCO2FCUWXX470,4.21,2025-07-25
38630,2025-07-28 13:50,Alleima AB,529900EBHTYGLA6PGP77,3.49,2025-07-25
38631,2025-07-28 13:50,Addtech AB,549300QZ5U2IDRHPWL60,1.63,2025-07-25
38632,2025-07-28 13:50,SynAct Pharma AB,549300RRYIEFEQ72N546,0.19,2025-07-22
38633,2025-07-28 13:50,Thule Group AB,549300XHHOGBOERKU333,3.09,2025-07-23
38634,2025-07-28 14:06,W5 Solutions AB (publ),549300JKE3X3UFP08232,0.57,2025-07-25
38635,2025-07-28 14:06,GomSpace Group AB,213800ES6SHKK5QTN734,0.39,2025-07-25
38636,2025-07-28 14:06,Alligator Bioscience AB,549300E15VI0MB7LXV19,0.68,2025-07-25
38637,2025-07-28 14:06,AAC Clyde Space AB,549300XQ7MZYAEFJLX90,0.58,2025-07-25
38638,2025-07-28 14:06,Aktiebolaget SKF,549300B6HWYEE57O8J84,4.1,2025-07-25
38639,2025-07-28 14:06,Mips AB,549300LZSA4S0L54VQ25,5.43,2025-07-25
38640,2025-07-28 14:06,Done.ai Group AB,549300HN4ITSR6ZSAO17,0.29,2025-07-25
38641,2025-07-28 14:06,Beijer Ref AB (publ),549300PZZEUVH08H4G75,3.6,2025-07-25
38642,2025-07-28 14:06,MedCap AB (publ),549300NGO5XAJ6TL8719,0.48,2025-07-24
38643,2025-07-28 14:22,Inwido AB (publ),529900A9NKQW5UTHBG13,0.93,2025-07-25
38644,2025-07-28 14:22,Alleima AB,529900EBHTYGLA6PGP77,3.59,2025-07-25
38645,2025-07-28 14:22,SSAB AB,529900329VS14ZIML164,3.77,2025-07-25
38646,2025-07-28 14:22,Episurf Medical AB,549300GORBCSMHZB2J75,0.18,2025-07-25
38647,2025-07-28 14:22,Hexatronic Group AB,2138001VSY1B4U9JLM82,14.12,2025-07-25
38648,2025-07-28 14:22,HMS Networks AB,549300MOY2FDUUDIQ179,2.3,2025-07-23
38649,2025-07-28 14:37,MilDef Group AB,9845009F7Q0D56B38270,4.41,2025-07-25
38650,2025-07-28 14:37,engcon AB,549300EMZ2B768S85S50,0.94,2025-07-25
38651,2025-07-28 14:37,Storytel AB (publ),549300I1FSPPI9HHU419,0.76,2025-07-25
38652,2025-07-28 14:37,Fasadgruppen Group AB (publ),549300E24LG2Z7KCFQ23,2.4,2025-07-25
38653,2025-07-28 14:37,JM AB,529900X0UEM9DOM6FK12,5.76,2025-07-25
38654,2025-07-28 14:37,Hoist Finance AB (publ),549300NPK3FB2BEL4D08,0.98,2025-07-25
38655,2025-07-28 14:52,Arjo AB (publ),549300OWGJPYKC6JF790,0.2,2025-06-11
38656,2025-07-28 14:52,VEF AB (publ),549300GLLHHE80RQ2Y24,0.39,2025-06-09
38657,2025-07-28 14:52,Tele2 AB,213800EKD193RVI9HL76,0.96,2025-07-11
38658,2025-07-28 14:52,Lagercrantz Group Aktiebolag,5493002L6I4YHANEYR87,0.52,2025-07-25
38659,2025-07-28 14:52,Dometic Group AB (publ),549300STIPMK5VSA7Y59,1.88,2025-07-25
38660,2025-07-28 14:52,Sinch AB (publ),549300UXY7QM6IDCGI12,1.21,2025-07-25
38661,2025-07-28 15:02,Dometic Group AB (publ),549300STIPMK5VSA7Y59,1.98,2025-07-25
38662,2025-07-28 15:02,Vimian Group AB,549300OQ8R5TCAP0BS18,1.2,2025-07-25
38663,2025-07-28 15:02,Knowit Aktiebolag (publ),549300CM6KSG2GY3HV62,1.54,2025-07-25
38664,2025-07-28 15:02,Alligator Bioscience AB,549300E15VI0MB7LXV19,0.58,2025-07-25
38665,2025-07-28 15:34,Samhällsbyggnadsbolaget i Norden AB,549300HX9MRFY47AH564,12.52,2025-07-25
38666,2025-07-28 15:34,Aktiebolaget Electrolux,549300Y3HHZB1ZGFPJ93,10.88,2025-07-25
38667,2025-07-28 15:34,Fastighets AB Balder,549300GHKJCEZOAEUU82,2.84,2025-07-22
38668,2025-07-28 17:47,Hansa Biopharma AB,549300LLEO25ZJJ3NT91,3.99,2025-07-28
38669,2025-07-28 18:06,Svenska Handelsbanken AB,NHBDILHZTYCNBV5UYZ31,2.43,2025-07-16
38670,2025-07-28 18:11,Svenska Handelsbanken AB,NHBDILHZTYCNBV5UYZ31,2.53,2025-07-16
38671,2025-07-28 18:11,Svenska Handelsbanken AB,NHBDILHZTYCNBV5UYZ31,2.43,2025-07-16
38672,2025-07-28 18:11,Sinch AB (publ),549300UXY7QM6IDCGI12,1.34,2025-07-28
38673,2025-07-28 19:08,Flat Capital AB (publ),549300LHOWJ5TLK68326,0.2,2025-07-28
38674,2025-07-28 19:08,Svenska Handelsbanken AB,NHBDILHZTYCNBV5UYZ31,2.43,2025-07-16
38675,2025-07-28 19:19,BeammWave AB,9845008AD575B0BD7B65,0.41,2025-07-28
38676,2025-07-28 22:36,Ework Group AB,549300WF2ILKHMGV9I45,0.1,2025-07-28
38677,2025-07-28 22:36,GomSpace Group AB,213800ES6SHKK5QTN734,0.46,2025-07-28
38678,2025-07-28 22:46,Oncopeptides AB,549300J9WWQ5CBYQ1M77,0.27,2025-07-28
38679,2025-07-29 03:31,Aktiebolaget SKF,549300B6HWYEE57O8J84,4.2,2025-07-28
38680,2025-07-29 04:20,Castellum Aktiebolag,549300GU5OHTR1T5IY68,7.54,2025-07-24
38681,2025-07-29 04:20,Cibus Nordic Real Estate AB (publ),549300PW36MFK96GCR23,3.36,2025-07-28
38682,2025-07-29 08:50,Loomis AB,213800NS2XXVRYS7WP40,0.43,2025-07-07
38683,2025-07-29 08:50,Intrum AB,549300UNCO2FCUWXX470,4.36,2025-07-28
38684,2025-07-29 08:50,Cereno Scientific AB,549300VX8KTMYDS6NM84,0.8,2025-07-28
38685,2025-07-29 09:50,Atrium Ljungberg AB,5493001NNP6HM67OVU09,0.9,2025-06-10
38686,2025-07-29 09:50,Dometic Group AB (publ),549300STIPMK5VSA7Y59,1.71,2025-07-25
38687,2025-07-29 09:50,Nobia AB,529900MZ8Y3QGPDF6815,2.53,2025-07-22
38688,2025-07-29 10:21,Biovica International AB,549300VADE1VRR555N78,1.7,2025-07-28
38689,2025-07-29 10:21,Wyld Networks AB,984500E76A454BADAI39,0.12,2025-07-28
38690,2025-07-29 10:21,Electrolux Professional AB (publ),254900KI62Q46ZWD8084,1.72,2025-07-28
38691,2025-07-29 10:40,JM AB,529900X0UEM9DOM6FK12,5.86,2025-07-28
38692,2025-07-29 10:40,Hexatronic Group AB,2138001VSY1B4U9JLM82,14.13,2025-07-28
